,Account,Date,PnL,num_trades,win_rate,avg_size,classification,cum_pnl,rolling_max,drawdown,trader_type,profit_flag,next_pnl,profit_bucket
76,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882,4211,0.418665400142484,25.23259392068392,2,49180.714882,49180.714882,0.0,Frequent,1,40314.808014,1
77,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014,9274,0.32003450506793185,27336.278931761375,1,89495.52289600001,89495.52289600001,0.0,Frequent,1,,0
79,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-07-03,-14505.50575,39,0.0,1490.161646666667,3,-14505.50575,-14505.50575,0.0,Frequent,0,67900.247545,1
80,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2024-10-27,67900.247545,283,0.5477031802120141,526.3980534512368,2,53394.74179500001,53394.74179500001,0.0,Frequent,1,19451.742477,1
81,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2025-02-19,19451.742477,95,0.8842105263157894,6.735411789473684,1,72846.484272,72846.484272,0.0,Frequent,1,,0
82,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222,190,0.5526315789473685,113.47394368421052,2,20925.513222,20925.513222,0.0,Frequent,1,8751.751449,1
83,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449,182,0.2692307692307692,1.2387358461538462,1,29677.264671,29677.264671,0.0,Frequent,1,,0
85,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524,9,0.2222222222222222,66184.87777777779,2,55.01524,55.01524,0.0,Frequent,1,21703.816512999998,1
86,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998,525,0.3238095238095238,81714.02571809523,1,21758.831753,21758.831753,0.0,Frequent,1,,0
87,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,1043,0.2751677852348993,10386.458516637584,2,155.50335699999994,155.50335699999994,0.0,Frequent,1,2606.8947559999997,1
88,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,3076,0.21879063719115735,20908.866869118337,0,2762.3981129999997,2762.3981129999997,0.0,Frequent,1,62586.1816,1
89,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,1643,0.20998174071819842,4190.548645093603,3,65348.57971300001,65348.57971300001,0.0,Frequent,1,1421755.845871,1
90,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871,1268,0.5670347003154574,369.06186863067825,2,1487104.425584,1487104.425584,0.0,Frequent,1,553818.000465,1
91,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465,7380,0.3910569105691057,18.607745065084014,1,2040922.4260490001,2040922.4260490001,0.0,Frequent,1,,0
93,0xb899e522b5715391ae1d4f137653e7906c5e2115,2025-02-19,22488.500821,4838,0.4386109962794543,28556.546869951013,1,22488.500821,22488.500821,0.0,Frequent,1,,0
94,0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682,21190,0.46753185464841907,20.28243549345446,1,940157.212682,940157.212682,0.0,Frequent,1,,0
96,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2024-10-27,11671.68,267,0.15355805243445692,7568.242062097379,2,11671.68,11671.68,0.0,Frequent,1,325441.97721599997,1
97,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2025-02-19,325441.97721599997,2211,0.3722297602894618,23836.939773020807,1,337113.65721599996,337113.65721599996,0.0,Frequent,1,,0
99,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2024-10-27,684215.002602,9883,0.5692603460487706,81.21935754855915,2,684215.002602,684215.002602,0.0,Frequent,1,126967.976166,1
100,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,2025-02-19,126967.976166,26651,0.3848636073693295,24.94638425156317,1,811182.978768,811182.978768,0.0,Frequent,1,,0
